SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2004 26th Ave W,Seattle,WA,98199,1675000,5,3.5,Magnolia,3670,6500,1949,11,456,,Active,,,http://www.redfin.com/WA/Seattle/2004-26th-Ave-W-98199/home/124340,NWMLS,1588492,N,Y,47.6371843,-122.3901061
MLS Listing,,Single Family Residential,3516 NE 43rd St,Seattle,WA,98105,1750000,5,3.5,Laurelhurst,4490,5000,1948,11,390,,Active,,,http://www.redfin.com/WA/Seattle/3516-NE-43rd-St-98105/home/122753,NWMLS,1588774,N,Y,47.6600841,-122.2894694
MLS Listing,,Single Family Residential,3013 NW 61st St,Seattle,WA,98107,2000000,6,3.5,Sunset Hill,4152,5000,2020,11,482,,Active,,,http://www.redfin.com/WA/Seattle/3013-NW-61st-St-98107/home/162206,NWMLS,1588777,N,Y,47.6727514,-122.3962862
MLS Listing,,Single Family Residential,2306 42nd Ave E,Seattle,WA,98112,2525000,5,3.25,Madison Park,3920,4800,2014,11,644,,Active,,,http://www.redfin.com/WA/Seattle/2306-42nd-Ave-E-98112/home/139960,NWMLS,1588730,N,Y,47.639373,-122.2781008
MLS Listing,,Single Family Residential,318 Martin Luther King Jr Way E,Seattle,WA,98112,879500,3,1.75,Madison Valley,2240,5120,1925,11,393,,Active,,,http://www.redfin.com/WA/Seattle/318-Martin-Luther-King-Jr-Way-E-98112/home/147699,NWMLS,1588374,N,Y,47.6219342,-122.2958495
MLS Listing,,Single Family Residential,5617 49th Ave SW,Seattle,WA,98136,949000,3,2.25,Seaview,1650,6250,1928,11,575,,Active,,,http://www.redfin.com/WA/Seattle/5617-49th-Ave-SW-98136/home/152738,NWMLS,1588560,N,Y,47.5515821,-122.3953325
MLS Listing,,Single Family Residential,2436 NW 64th St Unit C,Seattle,WA,98107,1025950,4,2.25,Ballard,2108,1000,2020,11,487,,Active,,,http://www.redfin.com/WA/Seattle/2436-NW-64th-St-98107/unit-C/home/171304984,NWMLS,1588415,N,Y,47.6755179,-122.3893059
MLS Listing,,Single Family Residential,1508 42nd Ave SW,Seattle,WA,98116,1050000,4,2.25,North Admiral,2370,4800,1929,11,443,,Active,,,http://www.redfin.com/WA/Seattle/1508-42nd-Ave-SW-98116/home/150663,NWMLS,1588501,N,Y,47.5900548,-122.3847122
MLS Listing,,Single Family Residential,1511 5th Ave N,Seattle,WA,98109,1499000,3,1.75,Queen Anne,2790,5949,1910,12,537,,Active,,,http://www.redfin.com/WA/Seattle/1511-5th-Ave-N-98109/home/131926,NWMLS,1586553,N,Y,47.632735,-122.347473
MLS Listing,,Single Family Residential,2217 NW 63rd St,Seattle,WA,98107,859950,4,2.0,Ballard,2070,2847,1905,12,415,,Active,,,http://www.redfin.com/WA/Seattle/2217-NW-63rd-St-98107/home/494625,NWMLS,1587540,N,Y,47.6743843,-122.3856167
MLS Listing,,Single Family Residential,314 NW 80th St,Seattle,WA,98117,875000,3,3.25,Greenwood,1650,4800,1913,12,530,,Active,,,http://www.redfin.com/WA/Seattle/314-NW-80th-St-98117/home/497764,NWMLS,1587438,N,Y,47.6871437,-122.3613594
MLS Listing,,Single Family Residential,2345 W Halladay St,Seattle,WA,98199,1695000,5,3.75,Magnolia,4330,7500,1942,12,391,,Active,,,http://www.redfin.com/WA/Seattle/2345-W-Halladay-St-98199/home/124023,NWMLS,1588144,N,Y,47.6419708,-122.3871577
MLS Listing,,Single Family Residential,11242 Marine View Dr SW,Seattle,WA,98146,1325000,4,3.25,Marine View,3852,9792,1938,12,344,,Active,,,http://www.redfin.com/WA/Seattle/11242-Marine-View-Dr-SW-98146/home/157706,NWMLS,1588320,N,Y,47.5017743,-122.3803972
MLS Listing,,Single Family Residential,3850 36th Ave W,Seattle,WA,98199,1975000,5,3.5,Magnolia,3817,6000,2020,12,517,,Active,,,http://www.redfin.com/WA/Seattle/3850-36th-Ave-W-98199/home/128730,NWMLS,1587432,N,Y,47.6555871,-122.4030422
MLS Listing,,Single Family Residential,4331 SW Brace Point Dr,Seattle,WA,98136,1300000,5,4.0,Fauntleroy,3770,7320,2007,12,345,,Active,,,http://www.redfin.com/WA/Seattle/4331-SW-Brace-Point-Dr-98136/home/157238,NWMLS,1586525,N,Y,47.520484,-122.3886873
MLS Listing,,Single Family Residential,12703 37th Ave NE,Seattle,WA,98125,1025000,4,2.5,Cedar Park,2624,7772,2014,12,391,,Active,,,http://www.redfin.com/WA/Seattle/12703-37th-Ave-NE-98125/home/52428237,NWMLS,1588000,N,Y,47.7213788,-122.2891827
MLS Listing,,Single Family Residential,946 19th Ave E,Seattle,WA,98112,1250000,4,1.5,Capitol Hill,1930,4320,1906,13,648,,Active,,,http://www.redfin.com/WA/Seattle/946-19th-Ave-E-98112/home/135511,NWMLS,1587205,N,Y,47.6282083,-122.3069323
MLS Listing,,Single Family Residential,1428 E Ward St,Seattle,WA,98112,3150000,5,4.25,Capitol Hill,5890,5610,1910,14,535,,Active,,,http://www.redfin.com/WA/Seattle/1428-E-Ward-St-98112/home/137302,NWMLS,1587412,N,Y,47.627867,-122.3131659
MLS Listing,,Single Family Residential,6046 53rd Ave NE,Seattle,WA,98115,1295000,4,1.75,Hawthorne Hills,2660,6000,1950,14,487,,Active,,,http://www.redfin.com/WA/Seattle/6046-53rd-Ave-NE-98115/home/320551,NWMLS,1585019,N,Y,47.6736766,-122.2700896
MLS Listing,,Single Family Residential,4323 Sunnyside Ave N,Seattle,WA,98103,1295000,3,1.5,Wallingford,1962,4560,1912,14,660,,Active,,,http://www.redfin.com/WA/Seattle/4323-Sunnyside-Ave-N-98103/home/117559,NWMLS,1586240,N,Y,47.6598905,-122.3304912
MLS Listing,,Single Family Residential,4445 S Frontenac St,Seattle,WA,98118,859950,5,4.0,Hillman City,2645,5022,2020,15,325,,Active,,,http://www.redfin.com/WA/Seattle/4445-S-Frontenac-St-98118/home/171280816,NWMLS,1587022,N,Y,47.5396004,-122.2761346
